DATE,LRUN64TTUSM156S
1970-01-01,3.89852528371895
1970-02-01,4.23647940376623
1970-03-01,4.38067812073818
1970-04-01,4.58010525346932
1970-05-01,4.67213069093218
1970-06-01,5.17415887530009
1970-07-01,5.21167886506597
1970-08-01,5.26214592618482
1970-09-01,5.47658443720806
1970-10-01,5.67030787795081
1970-11-01,5.86260097196682
1970-12-01,5.94401092316083
1971-01-01,5.9970959446569
1971-02-01,5.97269398770902
1971-03-01,6.0168586590915
1971-04-01,5.98346412507094
1971-05-01,6.00097036438951
1971-06-01,6.07364745521519
1971-07-01,6.13322787520426
1971-08-01,6.19358445400268
1971-09-01,6.0689789650784
1971-10-01,5.98533748570085
1971-11-01,6.04125694709339
1971-12-01,5.92965588995795
1972-01-01,5.92769718943023
1972-02-01,5.7918684041968
1972-03-01,5.88260091573043
1972-04-01,5.80735028772493
1972-05-01,5.74045762152237
1972-06-01,5.78982448305959
1972-07-01,5.7557472705601
1972-08-01,5.72023798726742
1972-09-01,5.61876958191862
1972-10-01,5.6328405380587
1972-11-01,5.23326015713041
1972-12-01,5.10308277039758
1973-01-01,5.01481518886282
1973-02-01,5.10825192996284
1973-03-01,5.007677413538
1973-04-01,5.07619379986913
1973-05-01,4.91198953023399
1973-06-01,5.03596228550336
1973-07-01,4.93945684807084
1973-08-01,4.87384690787561
1973-09-01,4.89283341495746
1973-10-01,4.65587474648505
1973-11-01,4.83619536121911
1973-12-01,4.89684838708948
1974-01-01,5.15407824288243
1974-02-01,5.22151421409903
1974-03-01,5.11201636067164
1974-04-01,5.08485391996458
1974-05-01,5.1928790765602
1974-06-01,5.52092880068281
1974-07-01,5.6074464924107
1974-08-01,5.53853740583613
1974-09-01,6.00241763645999
1974-10-01,6.08141579836128
1974-11-01,6.64333415041416
1974-12-01,7.18061097705089
1975-01-01,8.204105154385
1975-02-01,8.27597260442397
1975-03-01,8.72996506865329
1975-04-01,8.9328584617754
1975-05-01,9.16623880092758
1975-06-01,8.64922727714887
1975-07-01,8.59024268407266
1975-08-01,8.53215791275124
1975-09-01,8.58294938476527
1975-10-01,8.52675602329332
1975-11-01,8.26822054958207
1975-12-01,8.21106527407961
1976-01-01,8.03090146855906
1976-02-01,7.87224237595593
1976-03-01,7.71795429205315
1976-04-01,7.75919057566189
1976-05-01,7.46849443172239
1976-06-01,7.59801661915111
1976-07-01,7.72458053905804
1976-08-01,7.85855754651167
1976-09-01,7.78141816517957
1976-10-01,7.80823592288575
1976-11-01,7.85421417899366
1976-12-01,7.84070892611934
1977-01-01,7.56533910465476
1977-02-01,7.73091068125513
1977-03-01,7.56982211994104
1977-04-01,7.22764849648342
1977-05-01,7.05335336761165
1977-06-01,7.20773357562549
1977-07-01,6.93646123881996
1977-08-01,7.05986877219603
1977-09-01,6.88604259092098
1977-10-01,6.85824083767332
1977-11-01,6.78971699536472
1977-12-01,6.38677067946499
1978-01-01,6.48522344914895
1978-02-01,6.3388521086905
1978-03-01,6.35104059978604
1978-04-01,6.08475764830393
1978-05-01,6.03799214011867
1978-06-01,5.96396573176807
1978-07-01,6.22681430703568
1978-08-01,6.01405066713556
1978-09-01,6.02948442738482
1978-10-01,5.87428280825931
1978-11-01,5.92552801962
1978-12-01,6.07518445528122
1979-01-01,5.91865372421624
1979-02-01,5.94670933009909
1979-03-01,5.90216727012528
1979-04-01,5.83394232085204
1979-05-01,5.67894752207816
1979-06-01,5.81718847479533
1979-07-01,5.82443087152748
1979-08-01,6.09287789202237
1979-09-01,5.93972770516104
1979-10-01,6.05855497767978
1979-11-01,5.99209785567607
1979-12-01,6.08785641925118
1980-01-01,6.34782571017531
1980-02-01,6.3309491496852
1980-03-01,6.45435614456566
1980-04-01,6.9873727053003
1980-05-01,7.61889358504987
1980-06-01,7.60511564641043
1980-07-01,7.85736282908728
1980-08-01,7.85664586710933
1980-09-01,7.61832254758239
1980-10-01,7.72247531118356
1980-11-01,7.58382967669312
1980-12-01,7.40186371027552
1981-01-01,7.57292386592282
1981-02-01,7.4896029191116
1981-03-01,7.4936580948609
1981-04-01,7.3662055904853
1981-05-01,7.64882128189105
1981-06-01,7.53144493107898
1981-07-01,7.37444110405839
1981-08-01,7.53398933867485
1981-09-01,7.73352692075164
1981-10-01,8.09683630330782
1981-11-01,8.42475648733629
1981-12-01,8.7859377227755
1982-01-01,8.73871024557603
1982-02-01,8.95015352922011
1982-03-01,9.20861807330412
1982-04-01,9.56068288946756
1982-05-01,9.69390932209269
1982-06-01,9.61816832389198
1982-07-01,9.91911202614043
1982-08-01,10.029155598547
1982-09-01,10.3230437547807
1982-10-01,10.6536824162784
1982-11-01,10.9509553025935
1982-12-01,11.1126063615589
1983-01-01,10.5817442072877
1983-02-01,10.5372452985923
1983-03-01,10.5302717393608
1983-04-01,10.4616279463483
1983-05-01,10.3875812710156
1983-06-01,10.0483139452954
1983-07-01,9.48365970561942
1983-08-01,9.60092728403761
1983-09-01,9.30159475562007
1983-10-01,9.03356943435136
1983-11-01,8.63497607593686
1983-12-01,8.51556306905855
1984-01-01,8.14717634878514
1984-02-01,7.88911197136436
1984-03-01,7.88459864980113
1984-04-01,7.90594333852584
1984-05-01,7.61756766848933
1984-06-01,7.31979906349155
1984-07-01,7.55401206343799
1984-08-01,7.57880925262672
1984-09-01,7.47891913450847
1984-10-01,7.48283140593084
1984-11-01,7.29266929624308
1984-12-01,7.44353744137593
1985-01-01,7.45919128800798
1985-02-01,7.31706620073797
1985-03-01,7.33852661025958
1985-04-01,7.41325621368934
1985-05-01,7.36660935130931
