"Designation","Discovery Date (YYYY-MM-DD)","H (mag)","MOID (au)","q (au)","Q (au)","period (yr)","i (deg)","PHA","Orbit Class"
"C/2010 D3 (WISE)","2010-02-26","n/a","3.586","4.25","23255.11","1254179.62","76.39","n/a","Comet"
"P/2010 D2 (WISE)","2010-02-25","n/a","2.945","3.66","9.72","17.3","57.18","n/a","Jupiter-family Comet*"
"477519 (2010 DJ56)","2010-02-23","19.2","0.027","0.94","1.56","1.4","34.84","Y","Apollo"
"(2010 DJ77)","2010-02-20","21.6","0.049","0.75","1.16","0.93","25","Y","Aten"
"(2010 DH56)","2010-02-20","20.3","0.333","0.97","3.51","3.35","33.67","N","Apollo"
"(2010 DK34)","2010-02-20","20.4","0.332","0.65","4.89","4.62","27.4","N","Apollo"
"(2010 DH77)","2010-02-19","21.4","0.146","0.95","5.58","5.9","34.36","N","Apollo"
"(2010 DG77)","2010-02-19","21.4","0.008","0.96","2.63","2.41","13.33","Y","Apollo"
"445305 (2010 DM56)","2010-02-18","19.9","0.007","0.92","1.69","1.49","25.6","Y","Apollo"
"C/2010 DG56 (WISE)","2010-02-18","n/a","0.65","1.59","133.48","555.03","160.42","n/a","Comet"
"356P/WISE","2010-02-17","n/a","1.703","2.69","5.64","8.49","9.63","n/a","Jupiter-family Comet"
"(2010 DM21)","2010-02-16","20.2","0.259","0.98","4.74","4.84","21.15","N","Apollo"
"(2010 CN141)","2010-02-14","22.4","0.061","0.91","2.12","1.87","23.81","N","Apollo"
"(2010 CP140)","2010-02-13","19.5","0.097","0.88","2.92","2.62","14.47","N","Apollo"
"(2010 CC55)","2010-02-11","22.5","0.08","0.82","2.27","1.92","6.78","N","Apollo"
"(2010 CH18)","2010-02-09","19","0.333","1.12","4.09","4.21","27.15","N","Amor"
"(2010 CA55)","2010-02-05","21.3","0.151","0.67","9.38","11.26","58.7","N","Apollo"
"504800 (2010 CO1)","2010-01-31","21.7","0.022","0.79","1.23","1.02","24.02","Y","Apollo"
"P/2010 B2 (WISE)","2010-01-22","n/a","0.63","1.62","4.6","5.49","8.93","n/a","Encke-type Comet"
"477490 (2010 CG18)","2010-01-19","20.7","0.128","1.11","1.76","1.73","10.16","N","Amor"
"436329 (2010 GX62)","2010-01-16","20.1","0.012","0.87","5.03","5.08","21.66","Y","Apollo"
"(2010 AU118)","2010-01-13","99.9","0.147","1.13","2.12","2.06","43.73","N","Amor"
"(2010 AG79)","2010-01-13","19.9","0.237","1.22","4.58","4.94","33.01","N","Amor"
"(2010 AB78)","2010-01-12","18.3","0.205","1.02","3.49","3.39","33.25","N","Amor"
