"Designation","Discovery Date (YYYY-MM-DD)","H (mag)","MOID (au)","q (au)","Q (au)","period (yr)","i (deg)","PHA","Orbit Class"
"(2016 GU216)","2016-04-10","18.6","0.282","0.69","4.23","3.85","20.79","N","Apollo"
"(2016 FG15)","2016-03-31","19.9","0.227","0.76","4.23","3.94","16.65","N","Apollo"
"(2016 FO12)","2016-03-25","22.6","0.004","0.95","4.09","4","4.24","N","Apollo"
"(2016 DL)","2016-02-18","21.3","0.048","0.38","1.05","0.6","23.86","Y","Aten"
"C/2016 C2 (NEOWISE)","2016-02-08","n/a","0.632","1.56","126.44","512","38.16","n/a","Comet"
"(2016 BC14)","2016-01-23","20.9","0.011","0.71","1.03","0.81","8.38","Y","Aten"
"C/2016 B1 (NEOWISE)","2016-01-17","n/a","2.201","3.21","839.96","8656.25","50.48","n/a","Comet"
"(2016 AA10)","2016-01-05","20.2","0.045","0.92","2.84","2.57","12.66","Y","Apollo"
"(2016 AZ8)","2016-01-03","21","0.03","0.85","1.79","1.52","5.62","Y","Apollo"
"(2015 YC18)","2015-12-26","25.3","0.051","0.92","1.81","1.6","5.43","N","Apollo"
"C/2015 YG1 (NEOWISE)","2015-12-17","n/a","1.555","2.07","32.26","71.14","57.34","n/a","Halley-type Comet*"
"C/2015 X8 (NEOWISE)","2015-12-14","n/a","0.217","1.19","37.91","86.43","155.28","n/a","Halley-type Comet*"
"(2015 XY378)","2015-12-12","19.6","0.197","0.36","1.06","0.6","13.91","N","Aten"
"(2015 XB130)","2015-12-03","21.8","0.05","1.01","4.27","4.29","12.55","N","Apollo"
"(2015 WM16)","2015-11-30","21.7","0.073","0.87","4.63","4.57","32.44","N","Apollo"
"(2015 VZ145)","2015-11-13","23.5","0.013","0.97","3.28","3.1","2.74","N","Apollo"
"(2015 US81)","2015-10-29","18.9","0.553","1.29","4.25","4.62","53.55","N","Amor"
"(2015 TW346)","2015-10-15","18.6","0.382","1.28","4.78","5.28","26.85","N","Amor"
"(2015 TK237)","2015-10-08","22.6","0.038","0.92","3.15","2.9","11.66","N","Apollo"
"(2015 SF20)","2015-09-30","19.7","0.053","0.94","3.31","3.11","5.97","N","Apollo"
"(2015 SS20)","2015-09-23","22.4","0.028","1.01","2.08","1.92","11.47","N","Apollo"
"(2015 RR150)","2015-09-14","19.7","0.026","1.02","3.05","2.91","42.15","Y","Amor"
"(2015 RS83)","2015-09-12","19.4","0.155","0.66","4.94","4.68","11.64","N","Apollo"
"(2015 RA36)","2015-09-08","20","0.048","0.93","4.27","4.2","34.5","Y","Apollo"
"(2015 QM3)","2015-08-19","20.4","0.061","0.33","1.08","0.59","16.13","N","Aten"
"(2015 OS35)","2015-07-22","19","0.26","1.08","3.43","3.38","18.51","N","Amor"
"(2015 OA22)","2015-07-18","20","0.068","1.08","5.95","6.58","45.39","N","Amor"
"(2015 MQ130)","2015-06-22","20.9","0.27","1.03","3.38","3.28","40.2","N","Amor"
"(2015 KH157)","2015-05-27","19.9","0.016","0.84","2.75","2.4","21.58","Y","Apollo"
"(2015 KL157)","2015-05-21","19.1","0.006","1.01","4.27","4.29","35.55","Y","Apollo"
"P/2015 J3 (NEOWISE)","2015-05-15","n/a","0.499","1.49","5.21","6.13","8.13","n/a","Jupiter-family Comet"
"(2015 JF11)","2015-05-13","20.8","0.114","0.83","1.16","0.99","9.32","N","Aten"
"(2015 HF11)","2015-04-17","19.4","0.227","1.22","2.98","3.04","35.03","N","Amor"
"(2015 GJ46)","2015-04-11","19.2","0.236","0.67","5.13","4.93","18.26","N","Apollo"
"(2015 GK50)","2015-04-05","20.6","0.237","1.03","5.12","5.4","19.07","N","Amor"
"(2015 FU332)","2015-03-31","17.2","0.269","0.67","4.59","4.27","36.07","N","Apollo"
"(2015 FD341)","2015-03-27","17.7","0.124","0.31","1.6","0.93","20.55","N","Aten"
"(2015 FT344)","2015-03-23","19.9","0.201","1.09","4.01","4.06","12.55","N","Amor"
"(2015 FE120)","2015-03-23","21.1","0.011","1.01","3.49","3.38","22.8","Y","Apollo"
"(2015 FY117)","2015-03-20","21.3","0.149","1.14","2.9","2.87","24.32","N","Amor"
"(2015 DX198)","2015-02-17","22.1","0.074","1.02","2.26","2.1","11.05","N","Amor"
"(2015 BY516)","2015-01-30","22.3","0.139","0.97","3.8","3.69","12.73","N","Apollo"
"(2015 AK280)","2015-01-15","21.8","0.052","0.79","4.53","4.33","11.37","N","Apollo"
"(2015 AY245)","2015-01-14","21.2","0.018","1","1.25","1.2","13.59","Y","Apollo"
"(2015 AC17)","2015-01-03","19.9","0.237","1.22","3.29","3.39","29.25","N","Amor"
"(2014 YR43)","2014-12-26","19.5","0.299","0.97","4","3.92","26.45","N","Apollo"
"(2014 YS14)","2014-12-24","21.1","0.126","0.84","4.09","3.87","18.28","N","Apollo"
"(2014 XX31)","2014-12-11","17.5","0.475","0.36","5.27","4.73","35.84","N","Apollo"
"(2014 XX7)","2014-12-10","19.7","0.197","1.18","4.64","4.97","36.68","N","Amor"
"(2014 XQ7)","2014-12-06","20.6","0.312","0.66","4.58","4.24","30.97","N","Apollo"
"(2014 VP35)","2014-11-14","23.3","0.027","0.95","1.98","1.77","9.17","N","Apollo"
"(2014 UF206)","2014-10-31","18.8","0.137","1.11","3.74","3.78","48.03","N","Amor"
"(2014 UG176)","2014-10-25","21.5","0.161","0.78","4.72","4.57","16.37","N","Apollo"
"(2014 UH210)","2014-10-20","21.1","0.1","0.89","4.24","4.1","22.06","N","Apollo"
"(2014 TW57)","2014-10-10","19.6","0.062","0.57","3.78","3.21","6.75","N","Apollo"
"(2014 TJ64)","2014-10-07","21.2","0.143","1.04","4.19","4.23","14.77","N","Amor"
